"startup_id,name,founder_id,industry_sector,business_model,funding_history,growth_metrics,created_at,updated_at"
"1,""TechWave Solutions"",R001,""Technology"",""SaaS"",""Seed Funding: $500K, Series A: $3M"",""User growth: 120% YoY, Revenue: $2M in 2023"",""2022-01-15"",""2024-01-10"""
"2,""GreenEnergy Corp"",R002,""Renewable Energy"",""B2B"",""Series A: $2M, Series B: $10M"",""Revenue: $8M in 2023, 50% reduction in carbon footprint for clients"",""2021-05-10"",""2024-02-05"""
"3,""BioTech Innovations"",R003,""Biotechnology"",""B2B2C"",""Seed Funding: $750K, Series A: $5M"",""Partnerships with 5 major healthcare providers, $1M revenue in 2023"",""2020-11-20"",""2023-12-15"""
"4,""EduStream"",R004,""Education Technology"",""SaaS"",""Angel Investment: $300K, Series A: $2M"",""Student retention: 95%, Revenue: $1.5M in 2023"",""2021-09-15"",""2024-01-20"""
"5,""AutoPilot Systems"",R005,""Autonomous Vehicles"",""B2B"",""Seed Funding: $1M, Series A: $6M"",""Tested autonomous vehicles on 50+ city routes, $3M in revenue"",""2022-02-25"",""2023-12-30"""
"6,""MedTrackers"",R006,""Healthcare"",""B2C"",""Seed Funding: $400K, Series A: $2.5M"",""Active users: 1 million+, Revenue: $1M in 2023"",""2020-08-10"",""2024-02-01"""
"7,""CloudSafe Tech"",R007,""Cybersecurity"",""B2B"",""Series A: $3M, Series B: $8M"",""Customer growth: 30%, Revenue: $5M in 2023"",""2021-04-22"",""2024-01-18"""
"8,""NextGen Robotics"",R008,""Robotics"",""B2B"",""Angel Investment: $500K, Series A: $4M"",""Sold 200 robots in 2023, Revenue: $2.5M"",""2022-03-05"",""2024-01-12"""
"9,""SmartRetail"",R009,""Retail Technology"",""B2B2C"",""Seed Funding: $300K, Series A: $2M"",""Monthly active users: 500K, Revenue: $3M in 2023"",""2021-06-25"",""2023-12-20"""
"10,""FoodieTech"",R010,""Food Technology"",""B2C"",""Series A: $1.5M"",""Customer base: 200K+, Revenue: $1.2M in 2023"",""2022-07-18"",""2023-12-25"""
"11,""NextWave AI"",R011,""Artificial Intelligence"",""SaaS"",""Series A: $5M, Series B: $15M"",""AI-powered software used by 100+ enterprises, $8M revenue in 2023"",""2021-02-15"",""2024-01-22"""
"12,""SolarShift"",R012,""Renewable Energy"",""B2B"",""Seed Funding: $1M, Series A: $4M"",""Revenue: $4M in 2023, Installed 500+ solar systems"",""2022-01-30"",""2024-01-15"""
"13,""CleanTech Solutions"",R013,""Environmental Services"",""B2B"",""Seed Funding: $350K, Series A: $2.5M"",""Reduction of 500,000 tons of waste, Revenue: $3M"",""2021-10-11"",""2024-02-02"""
"14,""CryptoTech Innovations"",R014,""Fintech"",""B2C"",""Angel Investment: $1M, Series A: $7M"",""Growth in daily active users by 30%, Revenue: $10M"",""2021-12-01"",""2024-01-10"""
"15,""HomeGuard Security"",R015,""Security Tech"",""B2B2C"",""Seed Funding: $700K, Series A: $5M"",""Revenue: $4.5M in 2023, Expanded to 10 cities"",""2022-03-10"",""2023-12-22"""
"16,""BioLife Solutions"",R016,""Biotechnology"",""B2B"",""Series A: $2M"",""Partnerships with top 3 pharmaceutical companies, $2M revenue"",""2022-06-05"",""2024-01-19"""
"17,""VividVR"",R017,""Virtual Reality"",""B2B"",""Angel Investment: $600K, Series A: $4M"",""Revenue: $2M in 2023, 200+ VR experiences created"",""2021-08-30"",""2024-01-25"""
"18,""UrbanMobility"",R018,""Transportation"",""B2C"",""Seed Funding: $500K, Series A: $3M"",""Revenue: $1.8M in 2023, 30% increase in user adoption"",""2022-04-12"",""2024-01-28"""
"19,""HealthTrackers"",R019,""Health Tech"",""SaaS"",""Angel Investment: $200K, Series A: $1.5M"",""Revenue: $900K in 2023, 50% user growth YoY"",""2022-05-22"",""2024-02-04"""
"20,""NanoTech Labs"",R020,""Nanotechnology"",""B2B"",""Seed Funding: $1.2M, Series A: $6M"",""Revenue: $3.2M in 2023, Partnership with 10 global tech firms"",""2022-08-05"",""2024-01-30"""
"21,""NextGen Energy"",R021,""Energy Technology"",""B2B"",""Seed Funding: $800K, Series A: $3.5M"",""Revenue: $2M in 2023, Installed 1000+ energy systems"",""2021-03-15"",""2023-12-29"""
"22,""SmartSensors"",R022,""Internet of Things"",""B2B"",""Seed Funding: $400K, Series A: $3M"",""Revenue: $1M in 2023, Expanded into 3 new countries"",""2021-07-20"",""2024-01-20"""
"23,""EcoPack"",R023,""Packaging"",""B2B"",""Series A: $2M, Series B: $7M"",""Revenue: $5M in 2023, 100+ clients worldwide"",""2022-06-10"",""2024-02-03"""
"24,""Revolution Health"",R024,""Healthcare"",""B2C"",""Angel Investment: $250K, Series A: $1.8M"",""Growth: 300K+ app downloads, $800K in revenue in 2023"",""2022-09-15"",""2023-12-18"""
"25,""AgriTech Solutions"",R025,""Agriculture Technology"",""B2B"",""Seed Funding: $600K, Series A: $2.5M"",""Revenue: $1.2M in 2023, 40% market growth"",""2022-04-07"",""2024-01-25"""
