"ip_id,title,type,filing_date,status,owner_id,details,expiry_date"
"1,""AI Image Recognition Patent"",Patent,""2021-02-15"",""Granted"",R001,""Patent for a new AI-driven image recognition algorithm."",""2024-02-15"""
"2,""SmartWatch Trademark"",Trademark,""2020-11-10"",""Granted"",R002,""Trademark for a unique smartwatch design."",""2025-11-10"""
"3,""Autonomous Vehicle Patent"",Patent,""2022-03-05"",""Pending"",R003,""Patent for self-driving car technology."",""2026-03-05"""
"4,""Eco-Friendly Packaging Trademark"",Trademark,""2021-06-22"",""Granted"",R004,""Trademark for biodegradable packaging material."",""2026-06-22"""
"5,""Blockchain Security Protocol Patent"",Patent,""2020-12-01"",""Expired"",R005,""Patent for a blockchain-based security system."",""2023-12-01"""
"6,""Medical Device Patent"",Patent,""2021-07-19"",""Granted"",R006,""Patent for a new medical device for remote patient monitoring."",""2024-07-19"""
"7,""Virtual Reality App Trademark"",Trademark,""2021-04-15"",""Granted"",R007,""Trademark for a virtual reality gaming app."",""2026-04-15"""
"8,""Solar Panel Design Patent"",Patent,""2020-09-30"",""Granted"",R008,""Patent for a new solar panel design that increases energy efficiency."",""2025-09-30"""
"9,""Data Privacy Trademark"",Trademark,""2022-01-25"",""Pending"",R009,""Trademark for a data privacy service."",""2027-01-25"""
"10,""Smart Home Technology Patent"",Patent,""2021-08-10"",""Granted"",R010,""Patent for a new IoT-based smart home system."",""2024-08-10"""
"11,""Crypto Payment System Patent"",Patent,""2020-10-05"",""Granted"",R011,""Patent for a secure crypto payment processing system."",""2025-10-05"""
"12,""Renewable Energy Trademark"",Trademark,""2021-05-12"",""Pending"",R012,""Trademark for a renewable energy brand."",""2026-05-12"""
"13,""Robotic Arm Patent"",Patent,""2020-06-18"",""Expired"",R013,""Patent for a robotic arm used in industrial automation."",""2023-06-18"""
"14,""AI Chatbot Trademark"",Trademark,""2022-04-20"",""Granted"",R014,""Trademark for a chatbot used in customer service."",""2027-04-20"""
"15,""Electric Vehicle Charging Patent"",Patent,""2022-07-14"",""Pending"",R015,""Patent for a new electric vehicle fast-charging technology."",""2027-07-14"""
"16,""Wearable Health Tracker Trademark"",Trademark,""2020-11-30"",""Granted"",R016,""Trademark for a wearable health tracking device."",""2025-11-30"""
"17,""Drone Delivery Patent"",Patent,""2021-01-18"",""Granted"",R017,""Patent for an autonomous drone delivery system."",""2024-01-18"""
"18,""Smart Glasses Trademark"",Trademark,""2021-09-10"",""Pending"",R018,""Trademark for a pair of smart glasses with augmented reality features."",""2026-09-10"""
"19,""Wireless Charging Patent"",Patent,""2020-05-23"",""Granted"",R019,""Patent for a wireless charging technology for mobile devices."",""2025-05-23"""
"20,""AI Medical Diagnosis Trademark"",Trademark,""2021-11-05"",""Granted"",R020,""Trademark for an AI-powered medical diagnosis platform."",""2026-11-05"""
"21,""3D Printing Technology Patent"",Patent,""2022-02-28"",""Granted"",R021,""Patent for an advanced 3D printing technology for manufacturing."",""2027-02-28"""
"22,""Food Delivery App Trademark"",Trademark,""2020-04-12"",""Expired"",R022,""Trademark for a mobile food delivery app service."",""2023-04-12"""
"23,""Biometric Security Patent"",Patent,""2021-12-01"",""Pending"",R023,""Patent for a biometric authentication system for secure access."",""2026-12-01"""
"24,""Voice Assistant Trademark"",Trademark,""2020-07-23"",""Granted"",R024,""Trademark for a voice-controlled virtual assistant service."",""2025-07-23"""
"25,""Nanotechnology Sensor Patent"",Patent,""2022-05-15"",""Granted"",R025,""Patent for a nanotechnology-based sensor for medical use."",""2027-05-15"""
